item_purchased,size,color,category,season,review_rating,purchase_amount,discount_applied,shipping_type,payment_method,customer_id,age,gender,subscription_status,previous_purchases,frequency_of_purchases,location
Blouse,XL,Turquoise,Clothing,Winter,4.9,57.0,No,Free Shipping,Venmo,2880,62.0,Female,No,31.0,Annually,North Dakota
Gloves,Free Size,Peach,Accessories,Summer,4.6,44.0,No,Free Shipping,Bank Transfer,3141,34.0,Female,No,37.0,Weekly,Alaska
Belt,Free Size,Blue,Accessories,Summer,3.6,77.0,No,Standard,Bank Transfer,1812,42.0,Male,No,33.0,Annually,Wisconsin
Belt,Free Size,Blue,Accessories,Summer,3.6,77.0,No,Standard,Bank Transfer,1812,42.0,Male,No,33.0,Annually,Wisconsin
Headphones,Not Applicable,Red,Electronics,Autumn,3.1139240506329116,825.1690217391305,Yes,Express,PayPal,4363,25.0,Female,No,0.0,Weekly,Houston
Phone,Not Applicable,Green,Electronics,Summer,2.9156626506024095,752.5371604938272,Yes,Standard,PayPal,4048,30.0,Other,No,6.0,Quarterly,Los Angeles
Bag,Free Size,Blue,Accessories,Autumn,1.0,737.5294936708862,Yes,Standard,Cash,4346,21.0,Female,Yes,28.0,Monthly,Chicago
Blouse,XL,Pink,Clothing,Fall,2.7,72.0,No,Next Day Air,Credit Card,2471,55.0,Male,No,29.0,Fortnightly,Arizona
Sneakers,M,Orange,Footwear,Winter,4.5,45.0,Yes,Next Day Air,Bank Transfer,404,19.0,Male,Yes,12.0,Annually,Nevada
Backpack,Free Size,Indigo,Accessories,Winter,3.0,78.0,No,Next Day Air,Credit Card,2910,27.0,Female,No,40.0,Every 3 Months,Louisiana
Shoes,L,Black,Footwear,Autumn,3.5454545454545454,1090.49,Yes,Express,Debit Card,4892,44.0,Male,Yes,32.0,Weekly,Chicago
Sunglasses,Free Size,Gray,Accessories,Summer,3.4,83.0,No,Standard,Credit Card,2656,26.0,Female,No,2.0,Fortnightly,Wyoming
Jewelry,Free Size,Silver,Accessories,Winter,4.5,88.0,Yes,Next Day Air,Bank Transfer,1572,28.0,Male,No,11.0,Fortnightly,Colorado
Shorts,XL,Orange,Clothing,Spring,5.0,86.0,Yes,Next Day Air,Credit Card,1252,56.0,Male,No,43.0,Monthly,Indiana
Blouse,L,Purple,Clothing,Summer,3.8,88.0,No,Free Shipping,Credit Card,3629,53.0,Female,No,35.0,Monthly,Georgia
Handbag,Free Size,Teal,Accessories,Fall,4.2,47.0,Yes,Standard,Credit Card,250,53.0,Male,Yes,18.0,Annually,Alaska
Shoes,L,Olive,Footwear,Spring,3.9,50.0,No,Free Shipping,Debit Card,2546,38.0,Male,No,10.0,Annually,Texas
Dress,L,Gray,Clothing,Winter,4.7,80.0,No,Store Pickup,PayPal,1950,63.0,Male,No,12.0,Quarterly,Nebraska
Boots,M,Purple,Footwear,Summer,4.9,78.0,Yes,Store Pickup,Debit Card,1648,34.0,Male,No,8.0,Quarterly,Hawaii
Belt,Free Size,Teal,Accessories,Spring,2.8,28.0,No,Free Shipping,Credit Card,2670,39.0,Female,No,31.0,Weekly,Illinois
Skirt,M,White,Clothing,Winter,5.0,67.0,No,Free Shipping,Cash,3649,31.0,Female,No,45.0,Bi-Weekly,New York
Sweater,M,Turquoise,Clothing,Fall,4.8,26.0,No,Next Day Air,Venmo,3801,19.0,Female,No,12.0,Bi-Weekly,Vermont
Jacket,L,Magenta,Outerwear,Spring,4.9,90.0,No,Standard,Credit Card,2520,40.0,Male,No,21.0,Quarterly,Michigan
Handbag,Free Size,Red,Accessories,Summer,4.5,53.0,Yes,Express,Credit Card,258,20.0,Male,Yes,5.0,Quarterly,West Virginia
Handbag,Free Size,Red,Accessories,Summer,4.5,53.0,Yes,Express,Credit Card,258,20.0,Male,Yes,5.0,Quarterly,West Virginia
Phone,Not Applicable,Black,Electronics,Winter,2.9156626506024095,966.98,No,Express,Debit Card,5035,69.0,Female,Yes,0.0,Monthly,Houston
Sunglasses,Free Size,Olive,Accessories,Winter,2.9,21.0,Yes,Next Day Air,Credit Card,1628,69.0,Male,No,8.0,Annually,Maine
Skirt,L,Red,Clothing,Fall,4.5,44.0,No,2-Day Shipping,Cash,3758,61.0,Female,No,33.0,Weekly,California
Scarf,Free Size,Beige,Accessories,Spring,3.3,58.0,Yes,Express,Venmo,1384,36.0,Male,No,4.0,Monthly,Wisconsin
Phone,Not Applicable,White,Electronics,Spring,1.0,310.29,Yes,Express,Debit Card,4674,21.0,Female,No,4.0,Weekly,Chicago
Watch,Not Applicable,Black,Electronics,Spring,3.0759493670886076,662.1159090909091,No,Express,Cash,4336,36.0,Female,No,29.0,Weekly,Los Angeles
Sunglasses,Free Size,Olive,Accessories,Fall,4.2,31.0,No,Free Shipping,Credit Card,3740,38.0,Female,No,43.0,Weekly,Idaho
Dress,M,Black,Clothing,Summer,4.7,31.0,No,Next Day Air,Credit Card,2314,64.0,Male,No,36.0,Fortnightly,Georgia
Phone,Not Applicable,White,Electronics,Winter,3.0,752.5371604938272,Yes,Express,Debit Card,4715,53.0,Female,Yes,0.0,Quarterly,Phoenix
Coat,S,Charcoal,Outerwear,Summer,4.7,80.0,No,Store Pickup,Venmo,3061,47.0,Female,No,1.0,Monthly,California
Dress,M,Orange,Clothing,Winter,4.2,95.0,No,Free Shipping,Bank Transfer,3815,45.0,Female,No,26.0,Every 3 Months,Michigan
Handbag,Free Size,Green,Accessories,Spring,2.9,61.0,No,2-Day Shipping,Credit Card,1739,60.0,Male,No,37.0,Weekly,Tennessee
Jewelry,Free Size,Magenta,Accessories,Fall,4.1,42.0,Yes,2-Day Shipping,PayPal,356,37.0,Male,Yes,1.0,Every 3 Months,Oregon
Sunglasses,Free Size,Brown,Accessories,Winter,3.3,56.0,No,Standard,Credit Card,3214,27.0,Female,No,33.0,Monthly,Texas
T-shirt,S,Magenta,Clothing,Fall,4.7,29.0,Yes,2-Day Shipping,Debit Card,380,32.0,Male,Yes,46.0,Bi-Weekly,Montana
Sandals,L,Orange,Footwear,Spring,4.3,21.0,No,2-Day Shipping,Debit Card,1864,25.0,Male,No,39.0,Monthly,Connecticut
Sandals,M,Violet,Footwear,Spring,3.6,82.0,No,Store Pickup,Credit Card,3491,62.0,Female,No,43.0,Quarterly,Oregon
Hoodie,L,Yellow,Clothing,Spring,4.1,42.0,No,Next Day Air,Cash,3081,69.0,Female,No,5.0,Bi-Weekly,Colorado
Sandals,L,Pink,Footwear,Spring,2.7,66.0,No,2-Day Shipping,PayPal,2751,51.0,Female,No,26.0,Every 3 Months,Alaska
Coat,M,Yellow,Outerwear,Summer,4.1,37.0,No,Store Pickup,Cash,2181,41.0,Male,No,43.0,Quarterly,Connecticut
Shoes,M,White,Footwear,Summer,1.0,859.84,No,Express,PayPal,5089,68.0,Other,Yes,46.0,Monthly,Chicago
Hoodie,L,Black,Clothing,Summer,5.0,99.0,No,Store Pickup,Bank Transfer,3244,45.0,Female,No,11.0,Every 3 Months,Idaho
Blouse,S,Magenta,Clothing,Winter,4.7,94.0,Yes,2-Day Shipping,Venmo,67,31.0,Male,Yes,3.0,Every 3 Months,Pennsylvania
Headphones,Not Applicable,Black,Electronics,Summer,3.1139240506329116,825.1690217391305,Yes,Express,Credit Card,4028,23.0,Other,Yes,0.0,Quarterly,Los Angeles
Shirt,M,Silver,Clothing,Winter,3.0,64.0,Yes,Standard,PayPal,206,67.0,Male,Yes,25.0,Weekly,Hawaii
Socks,L,Violet,Clothing,Fall,4.3,36.0,No,2-Day Shipping,Cash,2460,47.0,Male,No,14.0,Weekly,Missouri
Bag,Free Size,Blue,Accessories,Autumn,3.159090909090909,607.15,No,Standard,Debit Card,4929,58.0,Female,Yes,38.0,Quarterly,Houston
Sneakers,M,Charcoal,Footwear,Fall,3.4,64.0,Yes,Free Shipping,Venmo,363,53.0,Male,Yes,1.0,Fortnightly,Texas
Jacket,M,Violet,Outerwear,Spring,3.8,81.0,No,Free Shipping,Credit Card,3343,66.0,Female,No,45.0,Weekly,New Jersey
T-shirt,M,Purple,Clothing,Winter,5.0,98.0,Yes,Standard,Venmo,1497,63.0,Male,No,9.0,Bi-Weekly,Idaho
Sunglasses,Free Size,Blue,Accessories,Winter,2.9,66.0,No,Next Day Air,PayPal,3553,22.0,Female,No,3.0,Quarterly,Kentucky
Coat,M,Violet,Outerwear,Summer,3.7,57.0,No,Store Pickup,Credit Card,2300,64.0,Male,No,48.0,Every 3 Months,Idaho
T-shirt,S,Pink,Clothing,Spring,4.9,36.0,No,2-Day Shipping,Bank Transfer,1828,20.0,Male,No,31.0,Weekly,Vermont
Socks,M,Black,Clothing,Summer,4.5,51.0,Yes,Store Pickup,Credit Card,1415,29.0,Male,No,3.0,Bi-Weekly,Minnesota
Boots,M,Magenta,Footwear,Summer,4.1,98.0,No,Standard,PayPal,2746,28.0,Female,No,44.0,Bi-Weekly,Michigan
Coat,M,Silver,Outerwear,Summer,2.8,97.0,No,Express,Cash,2977,30.0,Female,No,28.0,Fortnightly,Nebraska
Coat,M,Silver,Outerwear,Summer,2.8,97.0,No,Express,Cash,2977,30.0,Female,No,28.0,Fortnightly,Nebraska
Socks,XL,Black,Clothing,Fall,4.0,78.0,Yes,2-Day Shipping,Credit Card,797,42.0,Male,Yes,43.0,Annually,Arizona
Dress,L,Yellow,Clothing,Spring,4.2,60.0,Yes,Next Day Air,Debit Card,853,34.0,Male,Yes,23.0,Every 3 Months,Florida
Backpack,Free Size,Indigo,Accessories,Summer,3.1,89.0,Yes,Free Shipping,Credit Card,835,52.0,Male,Yes,18.0,Weekly,Nevada
Blouse,M,Brown,Clothing,Spring,4.5,37.0,No,Standard,Cash,3450,48.0,Female,No,35.0,Monthly,Kansas
Blouse,L,Yellow,Clothing,Spring,4.9,37.0,Yes,Store Pickup,Bank Transfer,1228,27.0,Male,No,19.0,Bi-Weekly,Illinois
Headphones,Not Applicable,Green,Electronics,Autumn,3.0,825.1690217391305,No,Standard,Credit Card,5021,34.0,Male,Yes,0.0,Weekly,Phoenix
Belt,Free Size,Peach,Accessories,Fall,4.4,72.0,Yes,Next Day Air,Debit Card,1341,40.0,Male,No,5.0,Every 3 Months,Idaho
Headphones,Not Applicable,Blue,Electronics,Winter,3.1139240506329116,193.65,Yes,Express,Credit Card,5017,20.0,Other,No,0.0,Monthly,Chicago
Shoes,S,Blue,Footwear,Summer,1.0,277.3683027522936,No,Express,PayPal,4822,23.0,Other,Yes,40.0,Quarterly,Los Angeles
Pants,M,Indigo,Clothing,Winter,4.4,83.0,Yes,Express,PayPal,665,63.0,Male,Yes,41.0,Bi-Weekly,Colorado
Skirt,M,Pink,Clothing,Fall,4.4,33.0,Yes,Express,Credit Card,570,65.0,Male,Yes,46.0,Every 3 Months,Alabama
Shirt,M,Silver,Clothing,Summer,4.1,74.0,Yes,Store Pickup,Venmo,447,19.0,Male,Yes,15.0,Monthly,West Virginia
Sandals,M,Magenta,Footwear,Fall,3.8,83.0,No,Store Pickup,Venmo,3413,61.0,Female,No,31.0,Quarterly,Indiana
Shoes,S,Maroon,Footwear,Winter,3.7,33.0,No,Standard,Credit Card,3810,57.0,Female,No,28.0,Annually,New York
Shirt,S,Black,Clothing,Summer,2.7,54.0,Yes,Free Shipping,Bank Transfer,1492,27.0,Male,No,10.0,Quarterly,Arkansas
Handbag,Free Size,Orange,Accessories,Summer,2.7,82.0,Yes,Store Pickup,PayPal,389,22.0,Male,Yes,10.0,Quarterly,Washington
Sweater,S,Violet,Clothing,Summer,4.4,90.0,No,Standard,Debit Card,3588,33.0,Female,No,33.0,Annually,Virginia
Hoodie,L,Charcoal,Clothing,Fall,3.7,56.0,Yes,Express,Debit Card,1280,63.0,Male,No,18.0,Annually,Maryland
Blouse,L,Green,Clothing,Winter,3.3,35.0,No,2-Day Shipping,PayPal,2385,24.0,Male,No,40.0,Quarterly,Alabama
Handbag,Free Size,Charcoal,Accessories,Fall,3.3,22.0,Yes,Free Shipping,Venmo,317,36.0,Male,Yes,46.0,Monthly,California
Shirt,L,Lavender,Clothing,Summer,2.9,44.0,No,Next Day Air,Bank Transfer,3688,34.0,Female,No,28.0,Every 3 Months,Arkansas
Hat,Free Size,Lavender,Accessories,Spring,3.1,62.0,No,2-Day Shipping,PayPal,3732,54.0,Female,No,45.0,Quarterly,West Virginia
Watch,Not Applicable,Green,Electronics,Spring,4.0,662.1159090909091,No,Express,Cash,4328,29.0,Female,No,3.0,Monthly,New York
Sweater,L,Gray,Clothing,Winter,2.8,50.0,No,Store Pickup,Venmo,3086,24.0,Female,No,10.0,Every 3 Months,Nevada
Handbag,Free Size,Gray,Accessories,Fall,4.4,94.0,Yes,Free Shipping,PayPal,29,54.0,Male,Yes,41.0,Every 3 Months,North Carolina
Shoes,L,Charcoal,Footwear,Summer,3.0,88.0,Yes,Free Shipping,Venmo,365,62.0,Male,Yes,7.0,Every 3 Months,North Dakota
Pants,M,Yellow,Clothing,Spring,3.2,85.0,No,Store Pickup,Cash,3523,27.0,Female,No,13.0,Quarterly,New Jersey
Sneakers,M,Cyan,Footwear,Fall,2.9,60.0,No,Free Shipping,Debit Card,3779,25.0,Female,No,30.0,Annually,South Dakota
Watch,Not Applicable,White,Electronics,Summer,3.0759493670886076,119.25,No,Express,Cash,4949,39.0,Other,Yes,28.0,Monthly,New York
Shoes,XL,Purple,Footwear,Summer,4.4,26.0,Yes,Standard,Credit Card,298,48.0,Male,Yes,4.0,Bi-Weekly,Delaware
Hat,Free Size,Maroon,Accessories,Fall,2.9,94.0,No,Express,Debit Card,2214,54.0,Male,No,18.0,Quarterly,Hawaii
Laptop,Not Applicable,Blue,Electronics,Autumn,3.1515151515151514,809.5398611111111,No,Express,PayPal,4841,51.0,Other,No,14.0,Weekly,Phoenix
Shirt,L,Blue,Clothing,Fall,2.6,95.0,No,Free Shipping,Cash,3883,35.0,Female,No,24.0,Fortnightly,North Dakota
Boots,L,Red,Footwear,Fall,3.3,90.0,Yes,Next Day Air,Debit Card,702,51.0,Male,Yes,5.0,Every 3 Months,Idaho
T-shirt,L,Indigo,Clothing,Summer,4.3,31.0,Yes,2-Day Shipping,Debit Card,1574,36.0,Male,No,25.0,Weekly,North Dakota
Jacket,M,Beige,Outerwear,Winter,2.5,34.0,Yes,Standard,Debit Card,1060,22.0,Male,No,25.0,Monthly,North Carolina
Jacket,M,Beige,Outerwear,Winter,2.5,34.0,Yes,Standard,Debit Card,1060,22.0,Male,No,25.0,Monthly,North Carolina
Jeans,S,Teal,Clothing,Winter,3.3,87.0,Yes,Store Pickup,Credit Card,426,40.0,Male,Yes,4.0,Quarterly,North Dakota
Headphones,Not Applicable,Black,Electronics,Summer,2.0,825.1690217391305,No,Standard,Cash,4707,65.0,Other,Yes,0.0,Weekly,Chicago
Sunglasses,Free Size,Turquoise,Accessories,Summer,4.4,64.0,No,Next Day Air,Cash,3861,57.0,Female,No,44.0,Annually,Pennsylvania
Jewelry,Free Size,Blue,Accessories,Fall,4.6,29.0,No,Free Shipping,Cash,1833,69.0,Male,No,48.0,Monthly,Louisiana
Shirt,M,Black,Clothing,Fall,3.9,62.0,Yes,Standard,Debit Card,493,50.0,Male,Yes,11.0,Weekly,Michigan
Shoes,M,Gold,Footwear,Summer,2.9,48.0,Yes,Store Pickup,Venmo,1631,63.0,Male,No,29.0,Every 3 Months,New Jersey
Hat,Free Size,Beige,Accessories,Fall,3.4,53.0,No,Standard,Venmo,3096,62.0,Female,No,13.0,Fortnightly,Minnesota
Shirt,M,Magenta,Clothing,Fall,4.0,76.0,No,Store Pickup,Debit Card,3121,46.0,Female,No,32.0,Fortnightly,Louisiana
Coat,L,Red,Outerwear,Fall,3.1,100.0,No,Store Pickup,Credit Card,2803,22.0,Female,No,42.0,Fortnightly,Hawaii
Handbag,Free Size,Turquoise,Accessories,Winter,4.0,68.0,No,Next Day Air,Venmo,2158,41.0,Male,No,41.0,Fortnightly,Mississippi
Handbag,Free Size,Turquoise,Accessories,Winter,4.0,68.0,No,Next Day Air,Venmo,2158,41.0,Male,No,41.0,Fortnightly,Mississippi
Socks,S,Silver,Clothing,Summer,3.9,76.0,Yes,2-Day Shipping,Cash,1245,70.0,Male,No,2.0,Monthly,Indiana
Hat,Free Size,Orange,Accessories,Spring,4.5,89.0,Yes,Next Day Air,Credit Card,1353,65.0,Male,No,37.0,Bi-Weekly,Indiana
Shirt,L,Silver,Clothing,Fall,3.6,26.0,No,Next Day Air,Bank Transfer,2628,66.0,Male,No,40.0,Quarterly,Missouri
Scarf,Free Size,Pink,Accessories,Summer,2.6,97.0,No,Next Day Air,Debit Card,1984,59.0,Male,No,21.0,Quarterly,Georgia
Hoodie,L,Indigo,Clothing,Winter,2.7,80.0,No,Free Shipping,PayPal,3225,37.0,Female,No,18.0,Monthly,Delaware
Pants,L,White,Clothing,Summer,3.0,56.0,Yes,2-Day Shipping,Debit Card,1164,26.0,Male,No,24.0,Monthly,Tennessee
Phone,Not Applicable,Black,Electronics,Spring,1.0,752.5371604938272,No,Express,Cash,4951,34.0,Male,No,0.0,Monthly,Phoenix
Sunglasses,Free Size,Gold,Accessories,Summer,3.6,61.0,No,Free Shipping,Venmo,2755,59.0,Female,No,21.0,Bi-Weekly,New Jersey
Shoes,XL,Black,Footwear,Winter,3.5454545454545454,1357.03,No,Standard,Debit Card,4071,54.0,Male,Yes,0.0,Quarterly,Phoenix
Belt,Free Size,Silver,Accessories,Spring,3.5,42.0,Yes,Next Day Air,Credit Card,982,27.0,Male,Yes,47.0,Quarterly,Maryland
Dress,L,Magenta,Clothing,Winter,3.7,82.0,No,Express,Cash,1799,40.0,Male,No,1.0,Weekly,North Dakota
Coat,S,Lavender,Outerwear,Spring,3.5,57.0,No,Next Day Air,Venmo,1684,23.0,Male,No,37.0,Quarterly,Arkansas
T-shirt,M,Orange,Clothing,Fall,3.5,47.0,Yes,Free Shipping,Credit Card,89,33.0,Male,Yes,35.0,Monthly,Wyoming
Sandals,S,Cyan,Footwear,Fall,4.2,69.0,Yes,2-Day Shipping,Cash,281,45.0,Male,Yes,21.0,Bi-Weekly,Montana
Hat,Free Size,Charcoal,Accessories,Winter,3.1,47.0,Yes,2-Day Shipping,PayPal,1621,25.0,Male,No,27.0,Every 3 Months,Virginia
Hat,Free Size,Charcoal,Accessories,Winter,3.1,47.0,Yes,2-Day Shipping,PayPal,1621,25.0,Male,No,27.0,Every 3 Months,Virginia
Handbag,Free Size,Teal,Accessories,Winter,3.5,53.0,No,2-Day Shipping,Cash,2514,69.0,Male,No,42.0,Annually,Washington
Shoes,L,Gray,Footwear,Winter,4.9,56.0,No,2-Day Shipping,Cash,3412,29.0,Female,No,45.0,Weekly,New York
Socks,L,Blue,Clothing,Summer,2.9,30.0,No,Store Pickup,Bank Transfer,2585,26.0,Male,No,26.0,Bi-Weekly,Florida
Shoes,L,Brown,Footwear,Winter,3.2,91.0,No,Next Day Air,Bank Transfer,3054,32.0,Female,No,22.0,Monthly,Maine
Socks,L,Red,Clothing,Fall,3.6,25.0,No,Free Shipping,Debit Card,2776,37.0,Female,No,16.0,Weekly,Montana
Backpack,Free Size,Gray,Accessories,Fall,4.5,94.0,Yes,2-Day Shipping,Cash,1170,25.0,Male,No,3.0,Annually,Wyoming
Dress,L,Silver,Clothing,Summer,5.0,24.0,No,Free Shipping,Cash,3444,47.0,Female,No,28.0,Bi-Weekly,Tennessee
Phone,Not Applicable,White,Electronics,Spring,2.9156626506024095,752.5371604938272,Yes,Standard,Cash,5055,66.0,Male,No,36.0,Monthly,New York
Backpack,Free Size,Green,Accessories,Spring,3.4,30.0,No,2-Day Shipping,Bank Transfer,2444,24.0,Male,No,24.0,Bi-Weekly,South Dakota
Boots,XL,Gold,Footwear,Spring,4.1,87.0,Yes,2-Day Shipping,Debit Card,1259,47.0,Male,No,34.0,Every 3 Months,Ohio
Shoes,L,Red,Footwear,Autumn,1.0,643.57,No,Standard,PayPal,4857,19.0,Male,No,0.0,Monthly,Chicago
T-shirt,L,Violet,Clothing,Summer,3.7,30.0,No,Free Shipping,Cash,2313,19.0,Male,No,19.0,Every 3 Months,Vermont
Shoes,L,White,Footwear,Winter,5.0,277.3683027522936,No,Express,Cash,4310,53.0,Female,Yes,0.0,Monthly,Los Angeles
Backpack,Free Size,Olive,Accessories,Spring,2.9,49.0,No,Store Pickup,Cash,2175,42.0,Male,No,1.0,Annually,Colorado
Dress,L,Orange,Clothing,Winter,2.9,33.0,No,Store Pickup,Cash,2602,61.0,Male,No,43.0,Monthly,Mississippi
Shoes,M,Gold,Footwear,Winter,4.9,86.0,No,Free Shipping,PayPal,3009,39.0,Female,No,19.0,Weekly,New Mexico
Bag,Free Size,Black,Accessories,Summer,3.159090909090909,611.08,No,Standard,PayPal,4720,69.0,Male,No,46.0,Weekly,New York
T-shirt,S,Gray,Clothing,Spring,2.7,83.0,Yes,Standard,Cash,1268,47.0,Male,No,41.0,Weekly,Oregon
Bag,Free Size,Black,Accessories,Summer,5.0,737.5294936708862,No,Standard,Cash,4036,41.0,Male,No,48.0,Quarterly,Phoenix
Sweater,S,White,Clothing,Winter,3.5,100.0,No,Store Pickup,Bank Transfer,2995,69.0,Female,No,14.0,Quarterly,Nevada
T-shirt,M,Blue,Clothing,Summer,3.1,48.0,No,Store Pickup,Venmo,3368,44.0,Female,No,6.0,Fortnightly,Tennessee
Sunglasses,Free Size,Gold,Accessories,Summer,4.6,64.0,No,Express,Debit Card,3052,44.0,Female,No,49.0,Every 3 Months,Wyoming
Jewelry,Free Size,Olive,Accessories,Summer,3.9,93.0,No,Standard,Venmo,3049,69.0,Female,No,47.0,Fortnightly,Colorado
Shirt,M,Violet,Clothing,Spring,3.6,87.0,Yes,Express,PayPal,843,59.0,Male,Yes,25.0,Weekly,Missouri
Hat,Free Size,Pink,Accessories,Winter,3.3,51.0,No,2-Day Shipping,Credit Card,3876,63.0,Female,No,21.0,Annually,New Hampshire
Shirt,M,Violet,Clothing,Fall,4.2,94.0,No,Free Shipping,PayPal,2154,35.0,Male,No,31.0,Annually,Kentucky
Dress,L,Red,Clothing,Summer,4.4,38.0,Yes,Next Day Air,Credit Card,1309,59.0,Male,No,14.0,Every 3 Months,Rhode Island
Scarf,Free Size,Peach,Accessories,Summer,3.69483870967742,67.0,Yes,2-Day Shipping,Bank Transfer,1371,27.0,Male,No,41.0,Every 3 Months,Montana
Scarf,Free Size,Peach,Accessories,Summer,3.69483870967742,67.0,Yes,2-Day Shipping,Bank Transfer,1371,27.0,Male,No,41.0,Every 3 Months,Montana
Handbag,Free Size,Charcoal,Accessories,Summer,2.8,47.0,Yes,Express,PayPal,988,62.0,Male,Yes,48.0,Weekly,West Virginia
Sneakers,M,Violet,Footwear,Spring,4.2,45.0,Yes,Next Day Air,Venmo,793,34.0,Male,Yes,45.0,Weekly,New Jersey
Scarf,Free Size,Indigo,Accessories,Winter,3.0,44.0,Yes,Store Pickup,Credit Card,782,30.0,Male,Yes,12.0,Fortnightly,Vermont
Scarf,Free Size,Yellow,Accessories,Fall,4.2,85.0,Yes,2-Day Shipping,PayPal,753,39.0,Male,Yes,17.0,Every 3 Months,Ohio
Hoodie,XL,Beige,Clothing,Winter,4.2,46.0,No,Express,Credit Card,2109,54.0,Male,No,4.0,Quarterly,North Dakota
Dress,M,Teal,Clothing,Spring,2.7,58.0,No,2-Day Shipping,Cash,2604,69.0,Male,No,8.0,Annually,Washington
Dress,L,Gray,Clothing,Fall,4.2,75.0,No,Free Shipping,Credit Card,3485,44.0,Female,No,13.0,Bi-Weekly,Illinois
Socks,M,Beige,Clothing,Summer,2.7,91.0,No,2-Day Shipping,Debit Card,3436,68.0,Female,No,50.0,Bi-Weekly,Montana
Boots,M,Green,Footwear,Summer,3.0,41.0,No,Free Shipping,Debit Card,3019,43.0,Female,No,21.0,Bi-Weekly,Texas
Sunglasses,Free Size,Cyan,Accessories,Spring,3.6,50.0,Yes,2-Day Shipping,Venmo,954,68.0,Male,Yes,36.0,Quarterly,Utah
Jewelry,Free Size,Gray,Accessories,Summer,2.6,74.0,No,Next Day Air,Debit Card,1892,69.0,Male,No,48.0,Quarterly,New Hampshire
T-shirt,L,Purple,Clothing,Fall,4.8,31.0,Yes,Next Day Air,Venmo,501,36.0,Male,Yes,35.0,Every 3 Months,Washington
Sweater,S,Maroon,Clothing,Fall,3.6,43.0,No,Store Pickup,Venmo,2865,58.0,Female,No,31.0,Weekly,Illinois
Sandals,M,Violet,Footwear,Fall,5.0,22.0,No,Standard,Debit Card,3056,27.0,Female,No,5.0,Bi-Weekly,Kansas
Jewelry,Free Size,Brown,Accessories,Winter,4.5,23.0,Yes,Next Day Air,PayPal,1496,45.0,Male,No,6.0,Weekly,Rhode Island
Bag,Free Size,Blue,Accessories,Winter,4.0,896.53,No,Express,Debit Card,4207,44.0,Other,Yes,0.0,Monthly,New York
Jacket,M,Indigo,Outerwear,Spring,3.7,20.0,No,Next Day Air,Venmo,3453,26.0,Female,No,3.0,Fortnightly,Oklahoma
Coat,M,Olive,Outerwear,Spring,2.6,36.0,Yes,Next Day Air,Credit Card,343,64.0,Male,Yes,48.0,Every 3 Months,Kentucky
Jewelry,Free Size,Orange,Accessories,Fall,3.8,91.0,No,Next Day Air,PayPal,2289,28.0,Male,No,50.0,Weekly,California
Backpack,Free Size,Gray,Accessories,Fall,3.1,87.0,No,Next Day Air,Cash,1732,21.0,Male,No,12.0,Monthly,Idaho
Gloves,Free Size,Green,Accessories,Winter,3.0,93.0,No,Express,PayPal,2178,24.0,Male,No,9.0,Bi-Weekly,Montana
Shoes,M,Green,Footwear,Winter,3.5454545454545454,277.3683027522936,Yes,Standard,Credit Card,4428,37.0,Male,Yes,0.0,Quarterly,Los Angeles
Headphones,Not Applicable,Black,Electronics,Winter,4.0,825.1690217391305,No,Standard,Credit Card,4688,61.0,Female,No,40.0,Monthly,Houston
Blouse,M,Gray,Clothing,Fall,4.0,61.0,Yes,2-Day Shipping,PayPal,1373,64.0,Male,No,44.0,Bi-Weekly,Michigan
Jacket,L,Maroon,Outerwear,Fall,4.2,99.0,No,2-Day Shipping,Cash,2612,33.0,Male,No,4.0,Fortnightly,Michigan
Hoodie,M,Charcoal,Clothing,Winter,2.7,60.0,Yes,Standard,Cash,1247,27.0,Male,No,27.0,Monthly,Louisiana
Hoodie,M,Brown,Clothing,Spring,2.6,31.0,No,Store Pickup,PayPal,2254,62.0,Male,No,22.0,Monthly,Oklahoma
Watch,Not Applicable,Blue,Electronics,Winter,2.0,282.95,No,Standard,Credit Card,4485,37.0,Female,No,0.0,Monthly,Houston
Belt,Free Size,Maroon,Accessories,Spring,2.6,44.0,Yes,Store Pickup,PayPal,941,48.0,Male,Yes,15.0,Every 3 Months,Colorado
Dress,L,Beige,Clothing,Spring,3.4,54.0,No,Next Day Air,Debit Card,2705,52.0,Female,No,35.0,Weekly,Tennessee
Jewelry,Free Size,Gray,Accessories,Fall,3.9,89.0,No,2-Day Shipping,PayPal,1941,50.0,Male,No,48.0,Fortnightly,Alaska
Handbag,Free Size,Yellow,Accessories,Winter,4.3,62.0,No,2-Day Shipping,Bank Transfer,2826,69.0,Female,No,28.0,Annually,North Carolina
Handbag,Free Size,Silver,Accessories,Summer,3.7,77.0,Yes,Standard,Bank Transfer,1647,58.0,Male,No,20.0,Every 3 Months,Nebraska
Socks,S,Purple,Clothing,Summer,4.6,42.0,No,Standard,Bank Transfer,3467,49.0,Female,No,43.0,Annually,Maryland
Pants,M,Turquoise,Clothing,Spring,4.8,41.0,Yes,Free Shipping,PayPal,224,20.0,Male,Yes,34.0,Annually,Wyoming
Laptop,Not Applicable,Black,Electronics,Summer,3.1515151515151514,860.91,Yes,Express,Cash,4627,54.0,Female,No,16.0,Quarterly,Houston
